Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","4895","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","422","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","89","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","76","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2517","Millet","2013","2013","Milliers de tonnes","12","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","3174","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","919","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","5","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","5283","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","40","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2517","Millet","2013","2013","Milliers de tonnes","5","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2518","Sorgho","2013","2013","Milliers de tonnes","71","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","440","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","25","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","6","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","7270","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","117","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","517","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","627","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2518","Sorgho","2013","2013","Milliers de tonnes","3","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","6900","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","277","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","25","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","1003","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","793","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","127","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2517","Millet","2013","2013","Milliers de tonnes","10","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","56","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","874","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","174","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","833","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5142","Nourriture","2517","Millet","2013","2013","Milliers de tonnes","30","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5142","Nourriture","2518","Sorgho","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","6","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","2579","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","1039","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","599","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","18","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2517","Millet","2013","2013","Milliers de tonnes","14","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2518","Sorgho","2013","2013","Milliers de tonnes","104","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","86","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","4273","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","364","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","0","S","Données standardisées"
