Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","140","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","150","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","75","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","12","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","952","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","226","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","220","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1983","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","46","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","71","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","49","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","35","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","42","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","220","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","301","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","291","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","14","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","1089","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","60","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","4286","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1469","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","205","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","181","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","23","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","191","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","372","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","9","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","5","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","186","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","189","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1414","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","49","S","Données standardisées"
