Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Valeur
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2511","Blé","2013","2013","4895"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","422"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2513","Orge","2013","2013","89"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2514","Maïs","2013","2013","76"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2517","Millet","2013","2013","12"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2520","Céréales, Autres","2013","2013","0"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2531","Pommes de Terre","2013","2013","230"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2542","Sucre Eq Brut","2013","2013","255"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2543","Edulcorants Autres","2013","2013","16"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2745","Miel","2013","2013","2"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2549","Légumineuses Autres","2013","2013","74"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2551","Noix","2013","2013","44"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2560","Coco (Incl Coprah)","2013","2013","0"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2561","Sésame","2013","2013","16"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2563","Olives","2013","2013","2"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2571","Huile de Soja","2013","2013","16"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2572","Huile d'Arachide","2013","2013","0"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2573","Huile de Tournesol","2013","2013","23"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2574","Huile de Colza&Moutarde","2013","2013","2"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2575","Huile Graines de Coton","2013","2013","4"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2577","Huile de Palme","2013","2013","64"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2579","Huile de Sésame","2013","2013","1"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2580","Huile d'Olive","2013","2013","1"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2586","Huil Plantes Oleif Autr","2013","2013","2"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2601","Tomates","2013","2013","0"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2605","Légumes, Autres","2013","2013","885"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2611","Oranges, Mandarines","2013","2013","145"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2614","Agrumes, Autres","2013","2013","39"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2615","Bananes","2013","2013","82"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2617","Pommes","2013","2013","68"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2618","Ananas","2013","2013","0"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2619","Dattes","2013","2013","1"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2620","Raisin","2013","2013","483"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2625","Fruits, Autres","2013","2013","223"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2630","Café","2013","2013","0"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2633","Feve de Cacao","2013","2013","1"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2635","Thé","2013","2013","107"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2640","Poivre","2013","2013","0"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2645","Épices, Autres","2013","2013","8"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2655","Vin","2013","2013","0"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2656","Bière","2013","2013","3"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2658","Boissons Alcooliques","2013","2013","0"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2680","Aliments pour enfants","2013","2013","2"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2511","Blé","2013","2013","3174"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","919"
